country,city,geo_type,date,driving_waze
Argentina,Buenos Aires,city,2020-03-01,11.0
Argentina,Buenos Aires,city,2020-03-02,19.0
Argentina,Buenos Aires,city,2020-03-03,4.0
Argentina,Buenos Aires,city,2020-03-04,3.0
Argentina,Buenos Aires,city,2020-03-05,6.0
Argentina,Buenos Aires,city,2020-03-06,7.000000000000001
Argentina,Buenos Aires,city,2020-03-07,13.0
Argentina,Buenos Aires,city,2020-03-08,15.0
Argentina,Buenos Aires,city,2020-03-09,26.0
Argentina,Buenos Aires,city,2020-03-10,7.000000000000001
Argentina,Buenos Aires,city,2020-03-11,10.0
Argentina,Buenos Aires,city,2020-03-12,3.0
Argentina,Buenos Aires,city,2020-03-13,-1.0
Argentina,Buenos Aires,city,2020-03-14,-9.0
Argentina,Buenos Aires,city,2020-03-15,-23.0
Argentina,Buenos Aires,city,2020-03-16,-10.0
Argentina,Buenos Aires,city,2020-03-17,-26.0
Argentina,Buenos Aires,city,2020-03-18,-35.0
Argentina,Buenos Aires,city,2020-03-19,-35.0
Argentina,Buenos Aires,city,2020-03-20,-76.0
Argentina,Buenos Aires,city,2020-03-21,-91.0
Argentina,Buenos Aires,city,2020-03-22,-94.0
Argentina,Buenos Aires,city,2020-03-23,-94.0
Argentina,Buenos Aires,city,2020-03-24,-95.0
Argentina,Buenos Aires,city,2020-03-25,-88.0
Argentina,Buenos Aires,city,2020-03-26,-89.0
Argentina,Buenos Aires,city,2020-03-27,-89.0
Argentina,Buenos Aires,city,2020-03-28,-91.0
Argentina,Buenos Aires,city,2020-03-29,-94.0
Argentina,Buenos Aires,city,2020-03-30,-89.0
Argentina,Buenos Aires,city,2020-03-31,-92.0
Argentina,Buenos Aires,city,2020-04-01,-87.0
Argentina,Buenos Aires,city,2020-04-02,-86.0
Argentina,Buenos Aires,city,2020-04-03,-85.0
Argentina,Buenos Aires,city,2020-04-04,-90.0
Argentina,Buenos Aires,city,2020-04-05,-93.0
Argentina,Buenos Aires,city,2020-04-06,-84.0
Argentina,Buenos Aires,city,2020-04-07,-85.0
Argentina,Buenos Aires,city,2020-04-08,-84.0
Argentina,Buenos Aires,city,2020-04-09,-87.0
Argentina,Buenos Aires,city,2020-04-10,-92.0
Argentina,Buenos Aires,city,2020-04-11,-88.0
Argentina,Buenos Aires,city,2020-04-12,-90.0
Argentina,Buenos Aires,city,2020-04-13,-79.0
Argentina,Buenos Aires,city,2020-04-14,-79.0
Argentina,Buenos Aires,city,2020-04-15,-78.0
Argentina,Buenos Aires,city,2020-04-16,-79.0
Argentina,Buenos Aires,city,2020-04-17,-77.0
Argentina,Buenos Aires,city,2020-04-18,-84.0
Argentina,Buenos Aires,city,2020-04-19,-90.0
Argentina,Buenos Aires,city,2020-04-20,-75.0
Argentina,Buenos Aires,city,2020-04-21,-75.0
Argentina,Buenos Aires,city,2020-04-22,-75.0
Argentina,Buenos Aires,city,2020-04-23,-75.0
Argentina,Buenos Aires,city,2020-04-24,-74.0
Argentina,Buenos Aires,city,2020-04-25,-82.0
Argentina,Buenos Aires,city,2020-04-26,-89.0
Argentina,Buenos Aires,city,2020-04-27,-71.0
Argentina,Buenos Aires,city,2020-04-28,-73.0
Argentina,Buenos Aires,city,2020-04-29,-70.0
Argentina,Buenos Aires,city,2020-04-30,-68.0
Argentina,Buenos Aires,city,2020-05-01,-84.0
Argentina,Buenos Aires,city,2020-05-02,-78.0
Argentina,Buenos Aires,city,2020-05-03,-86.0
Argentina,Buenos Aires,city,2020-05-04,-66.0
Argentina,Buenos Aires,city,2020-05-05,-66.0
Argentina,Buenos Aires,city,2020-05-06,-67.0
Argentina,Buenos Aires,city,2020-05-07,-66.0
Argentina,Buenos Aires,city,2020-05-08,-64.0
Argentina,Buenos Aires,city,2020-05-09,-73.0
Argentina,Buenos Aires,city,2020-05-10,-81.0
Argentina,Buenos Aires,city,2020-05-11,-61.0
Argentina,Buenos Aires,city,2020-05-12,-61.0
Argentina,Buenos Aires,city,2020-05-13,-62.0
Argentina,Buenos Aires,city,2020-05-14,-62.0
Argentina,Buenos Aires,city,2020-05-15,-60.0
Argentina,Buenos Aires,city,2020-05-16,-69.0
Argentina,Buenos Aires,city,2020-05-17,-77.0
Argentina,Buenos Aires,city,2020-05-18,-57.99999999999999
Argentina,Buenos Aires,city,2020-05-19,-60.0
Argentina,Buenos Aires,city,2020-05-20,-59.0
Argentina,Buenos Aires,city,2020-05-21,-60.0
Argentina,Buenos Aires,city,2020-05-22,-56.00000000000001
Argentina,Buenos Aires,city,2020-05-23,-69.0
Argentina,Buenos Aires,city,2020-05-24,-77.0
Argentina,Buenos Aires,city,2020-05-25,-81.0
Argentina,Buenos Aires,city,2020-05-26,-57.99999999999999
Argentina,Buenos Aires,city,2020-05-27,-59.0
Argentina,Buenos Aires,city,2020-05-28,-56.99999999999999
Argentina,Buenos Aires,city,2020-05-29,-56.00000000000001
Argentina,Buenos Aires,city,2020-05-30,-63.0
Argentina,Buenos Aires,city,2020-05-31,-78.0
Argentina,Buenos Aires,city,2020-06-01,-56.99999999999999
Argentina,Buenos Aires,city,2020-06-02,-57.99999999999999
Argentina,Buenos Aires,city,2020-06-03,-56.00000000000001
Argentina,Buenos Aires,city,2020-06-04,-57.99999999999999
Argentina,Buenos Aires,city,2020-06-05,-55.00000000000001
Argentina,Buenos Aires,city,2020-06-06,-65.0
Argentina,Buenos Aires,city,2020-06-07,-76.0
Argentina,Buenos Aires,city,2020-06-08,-54.0
Argentina,Buenos Aires,city,2020-06-09,-53.0
Argentina,Buenos Aires,city,2020-06-10,-53.0
Argentina,Buenos Aires,city,2020-06-11,-52.0
Argentina,Buenos Aires,city,2020-06-12,-53.0
Argentina,Buenos Aires,city,2020-06-13,-63.0
Argentina,Buenos Aires,city,2020-06-14,-75.0
Argentina,Buenos Aires,city,2020-06-15,-70.0
Argentina,Buenos Aires,city,2020-06-16,-53.0
Argentina,Buenos Aires,city,2020-06-17,-53.0
Argentina,Buenos Aires,city,2020-06-18,-52.0
Argentina,Buenos Aires,city,2020-06-19,-53.0
Argentina,Buenos Aires,city,2020-06-20,-57.99999999999999
Argentina,Buenos Aires,city,2020-06-21,-68.0
Argentina,Buenos Aires,city,2020-06-22,-52.0
Argentina,Buenos Aires,city,2020-06-23,-51.0
Argentina,Buenos Aires,city,2020-06-24,-50.0
Argentina,Buenos Aires,city,2020-06-25,-51.0
Argentina,Buenos Aires,city,2020-06-26,-46.0
Argentina,Buenos Aires,city,2020-06-27,-60.0
Argentina,Buenos Aires,city,2020-06-28,-75.0
Argentina,Buenos Aires,city,2020-06-29,-47.0
Argentina,Buenos Aires,city,2020-06-30,-41.0
Argentina,Buenos Aires,city,2020-07-01,-56.99999999999999
Argentina,Buenos Aires,city,2020-07-02,-56.99999999999999
Argentina,Buenos Aires,city,2020-07-03,-55.00000000000001
Argentina,Buenos Aires,city,2020-07-04,-64.0
Argentina,Buenos Aires,city,2020-07-05,-75.0
Argentina,Buenos Aires,city,2020-07-06,-51.0
Argentina,Buenos Aires,city,2020-07-07,-48.0
Argentina,Buenos Aires,city,2020-07-08,-49.0
Argentina,Buenos Aires,city,2020-07-09,-73.0
Argentina,Buenos Aires,city,2020-07-10,-70.0
Argentina,Buenos Aires,city,2020-07-11,-62.0
Argentina,Buenos Aires,city,2020-07-12,-72.0
Argentina,Buenos Aires,city,2020-07-13,-50.0
Argentina,Buenos Aires,city,2020-07-14,-52.0
Argentina,Buenos Aires,city,2020-07-15,-51.0
Argentina,Buenos Aires,city,2020-07-16,-50.0
Argentina,Buenos Aires,city,2020-07-17,-52.0
Argentina,Buenos Aires,city,2020-07-18,-55.00000000000001
Argentina,Buenos Aires,city,2020-07-19,-70.0
Argentina,Buenos Aires,city,2020-07-20,-46.0
Argentina,Buenos Aires,city,2020-07-21,-45.0
Argentina,Buenos Aires,city,2020-07-22,-46.0
Argentina,Buenos Aires,city,2020-07-23,-46.0
Argentina,Buenos Aires,city,2020-07-24,-45.0
Argentina,Buenos Aires,city,2020-07-25,-53.0
Argentina,Buenos Aires,city,2020-07-26,-69.0
Argentina,Buenos Aires,city,2020-07-27,-47.0
Argentina,Total,country,2020-03-01,-11.0
Argentina,Total,country,2020-03-02,-11.0
Argentina,Total,country,2020-03-03,-21.0
Argentina,Total,country,2020-03-04,-5.0
Argentina,Total,country,2020-03-05,-10.0
Argentina,Total,country,2020-03-06,-18.0
